"DETECTION_METHOD","FINES"
"Police issued",839
"Red light camera",801
"Unknown",0
"Average speed camera",604
"Fixed camera",3597
"Mobile camera",13069
"Police issued",1511
"Red light camera",2795
"Unknown",0
"Average speed camera",609
"Fixed camera",5241
"Mobile camera",19349
"Police issued",1808
"Red light camera",5845
"Unknown",0
"Average speed camera",112
"Fixed camera",1323
"Mobile camera",4878
"Police issued",348
"Red light camera",1464
"Unknown",0
"Average speed camera",3
"Mobile camera",29
"Red light camera",3
"Mobile camera",1
"Police issued",7
"Fixed camera",538
"Mobile camera",222
"Police issued",52
"Fixed camera",1172
"Mobile camera",532
"Police issued",55
"Fixed camera",2126
"Mobile camera",725
"Police issued",46
"Fixed camera",697
"Mobile camera",244
"Fixed camera",61
"Mobile camera",30
"Police issued",1341
"Police issued",2088
"Police issued",2203
"Police issued",557
"Police issued",2
"Police issued",1624
"Police issued",1835
"Police issued",1646
"Police issued",207
"Police issued",306
"Police issued",575
"Police issued",712
"Police issued",201
"Police issued",38
"Police issued",74
"Police issued",15
"Police issued",3
"Fixed camera",43006
"Mobile camera",2996
"Red light camera",21667
"Police issued",6
"Police issued",9
"Police issued",3
"Mobile camera",2
"Red light camera",2
"Mobile camera",294
"Police issued",51
"Red light camera",61
"Mobile camera",665
"Police issued",73
"Red light camera",241
"Mobile camera",794
"Police issued",72
"Red light camera",382
"Mobile camera",199
"Police issued",14
"Mobile camera",63
"Fixed camera",592
"Mobile camera",882
"Police issued",771
"Fixed camera",1585
"Mobile camera",2410
"Police issued",1425
"Fixed camera",2808
"Mobile camera",4072
"Other",1
"Police issued",1725
"Fixed camera",1118
"Mobile camera",1104
"Police issued",447
"Fixed camera",266
"Mobile camera",228
"Police issued",4
"Police issued",0
"Fixed or mobile camera",319
"Police issued",301
"Fixed or mobile camera",860
"Police issued",517
"Fixed or mobile camera",1118
"Police issued",640
"Fixed or mobile camera",434
"Police issued",181
"Police issued",2
"Fixed camera",157
"Mobile camera",582
"Police issued",731
"Fixed camera",741
"Mobile camera",2056
"Police issued",1408
"Fixed camera",1171
"Mobile camera",3505
"Police issued",1764
"Fixed camera",546
"Mobile camera",1632
"Police issued",474
"Fixed camera",899
"Mobile camera",1923
"Police issued",1
"Fixed camera",2302
"Mobile camera",2060
"Police issued",932
"Fixed camera",9321
"Mobile camera",9294
"Police issued",1740
"Fixed camera",16204
"Mobile camera",15282
"Police issued",2072
"Fixed camera",4903
"Mobile camera",4603
"Police issued",367
"Fixed camera",10282
"Mobile camera",7568
"Mobile camera",77
"Police issued",186
"Fixed camera",17
"Mobile camera",326
"Police issued",405
"Fixed camera",22
"Mobile camera",579
"Police issued",469
"Fixed camera",9
"Mobile camera",345
"Police issued",123
"Fixed camera",18
"Mobile camera",360
"Police issued",3
"Police issued",8
"Police issued",4
"Police issued",2
"Fixed camera",58
"Mobile camera",54
"Police issued",4
"Fixed camera",203
"Mobile camera",169
"Police issued",19
"Fixed camera",333
"Mobile camera",244
"Fixed camera",99
"Mobile camera",98
"Police issued",6
"Fixed camera",182
"Mobile camera",115
"Unknown",0
"Average speed camera",266
"Fixed camera",1178
"Mobile camera",4505
"Police issued",695
"Red light camera",915
"Unknown",0
"Average speed camera",631
"Fixed camera",3463
"Mobile camera",11506
"Police issued",1495
"Red light camera",3087
"Unknown",0
"Average speed camera",673
"Fixed camera",5077
"Mobile camera",16622
"Police issued",1719
"Red light camera",6471
"Unknown",0
"Average speed camera",123
"Fixed camera",1210
"Mobile camera",4273
"Police issued",333
"Red light camera",1685
"Average speed camera",1
"Fixed camera",13
"Mobile camera",16
"Red light camera",7
"Fixed camera",582
"Mobile camera",157
"Police issued",99
"Fixed camera",1317
"Mobile camera",295
"Police issued",126
"Fixed camera",2313
"Mobile camera",468
"Police issued",107
"Fixed camera",704
"Mobile camera",155
"Police issued",8
"Fixed camera",64
"Mobile camera",14
"Police issued",13
"Police issued",1505
"Police issued",2329
"Police issued",2330
"Police issued",498
"Police issued",5
"Police issued",1858
"Police issued",2231
"Police issued",1845
"Police issued",229
"Police issued",3
"Police issued",462
"Police issued",710
"Police issued",863
"Police issued",209
"Police issued",48
"Police issued",93
"Police issued",124
"Police issued",38
"Police issued",7
"Police issued",2
"Police issued",12
"Police issued",2
"Fixed camera",28762
"Mobile camera",3736
"Red light camera",17047
"Police issued",8
"Police issued",22
"Police issued",19
"Police issued",3
"Mobile camera",260
"Police issued",85
"Red light camera",81
"Mobile camera",592
"Police issued",156
"Red light camera",231
"Mobile camera",746
"Police issued",179
"Red light camera",342
"Mobile camera",196
"Police issued",23
"Red light camera",68
"Mobile camera",58
"Red light camera",30
"Fixed camera",411
"Mobile camera",694
"Police issued",729
"Fixed camera",1059
"Mobile camera",1836
"Police issued",1252
"Fixed camera",1982
"Mobile camera",3095
"Police issued",1709
"Fixed camera",768
"Mobile camera",1016
"Police issued",426
"Fixed camera",176
"Mobile camera",154
"Fixed or mobile camera",1
"Fixed or mobile camera",370
"Police issued",321
"Fixed or mobile camera",903
"Police issued",523
"Fixed or mobile camera",1246
"Police issued",539
"Fixed or mobile camera",458
"Police issued",158
"Fixed or mobile camera",1
"Fixed camera",188
"Mobile camera",575
"Police issued",770
"Fixed camera",753
"Mobile camera",2153
"Police issued",1379
"Fixed camera",1321
"Mobile camera",3463
"Police issued",1688
"Fixed camera",534
"Mobile camera",1489
"Police issued",416
"Fixed camera",970
"Mobile camera",1724
"Police issued",4
"Fixed camera",2127
"Mobile camera",1945
"Police issued",875
"Fixed camera",8718
"Mobile camera",8560
"Police issued",1536
"Fixed camera",14749
"Mobile camera",13962
"Police issued",1677
"Fixed camera",4455
"Mobile camera",4175
"Police issued",306
"Fixed camera",9551
"Mobile camera",6799
"Police issued",8
"Fixed camera",4
"Mobile camera",102
"Police issued",161
"Fixed camera",16
"Mobile camera",393
"Police issued",328
"Fixed camera",18
"Mobile camera",671
"Police issued",403
"Fixed camera",3
"Mobile camera",261
"Police issued",85
"Fixed camera",15
"Mobile camera",312
"Police issued",5
"Police issued",12
"Police issued",15
"Mobile camera",1
"Fixed camera",59
"Mobile camera",43
"Fixed camera",246
"Mobile camera",173
"Police issued",13
"Fixed camera",360
"Mobile camera",250
"Police issued",17
"Fixed camera",123
"Mobile camera",101
"Fixed camera",217
"Mobile camera",122
"Mobile camera",2
"Unknown",0
"Average speed camera",228
"Fixed camera",1103
"Mobile camera",4984
"Police issued",713
"Red light camera",853
"Unknown",0
"Average speed camera",550
"Fixed camera",3564
"Mobile camera",12026
"Police issued",1497
"Red light camera",3212
"Unknown",0
"Average speed camera",589
"Fixed camera",5067
"Mobile camera",17048
"Police issued",1728
"Red light camera",6593
"Unknown",0
"Average speed camera",104
"Fixed camera",1152
"Mobile camera",4021
"Police issued",329
"Red light camera",1745
"Unknown",0
"Fixed camera",7
"Mobile camera",21
"Red light camera",5
"Police issued",3
"Fixed camera",510
"Mobile camera",178
"Police issued",55
"Fixed camera",1196
"Mobile camera",352
"Fixed camera",2112
"Mobile camera",532
"Fixed camera",679
"Mobile camera",175
"Fixed camera",71
"Mobile camera",23
"Police issued",1242
"Police issued",1892
"Police issued",2093
"Police issued",518
"Police issued",1606
"Police issued",1940
"Police issued",1698
"Police issued",239
"Police issued",314
"Police issued",505
"Police issued",655
"Police issued",189
"Police issued",24
"Police issued",38
"Police issued",4
"Fixed camera",37527
"Mobile camera",3680
"Red light camera",19530
"Police issued",4
"Police issued",1
"Mobile camera",1
"Red light camera",1
"Mobile camera",311
"Police issued",42
"Red light camera",104
"Mobile camera",830
"Police issued",103
"Red light camera",419
"Mobile camera",1067
"Police issued",82
"Red light camera",532
"Mobile camera",297
"Police issued",10
"Red light camera",120
"Mobile camera",100
"Red light camera",35
"Fixed camera",487
"Mobile camera",910
"Police issued",601
"Fixed camera",1311
"Mobile camera",2279
"Police issued",1115
"Fixed camera",2506
"Mobile camera",3762
"Police issued",1441
"Fixed camera",941
"Mobile camera",1024
"Police issued",416
"Fixed camera",207
"Mobile camera",178
"Police issued",1
"Fixed or mobile camera",3
"Fixed or mobile camera",427
"Police issued",324
"Fixed or mobile camera",1188
"Police issued",539
"Fixed or mobile camera",1624
"Police issued",656
"Fixed or mobile camera",548
"Police issued",181
"Fixed or mobile camera",8
"Fixed camera",105
"Mobile camera",497
"Police issued",611
"Fixed camera",432
"Mobile camera",1829
"Police issued",1213
"Fixed camera",814
"Mobile camera",2971
"Police issued",1523
"Fixed camera",350
"Mobile camera",1364
"Police issued",397
"Fixed camera",585
"Mobile camera",1578
"Fixed camera",2469
"Mobile camera",1946
"Police issued",873
"Fixed camera",9869
"Mobile camera",8041
"Police issued",1609
"Fixed camera",16348
"Mobile camera",13688
"Police issued",1749
"Fixed camera",4888
"Mobile camera",3967
"Police issued",326
"Fixed camera",10639
"Mobile camera",6921
"Mobile camera",75
"Police issued",107
"Fixed camera",6
"Mobile camera",299
"Police issued",187
"Mobile camera",556
"Police issued",238
"Fixed camera",7
"Mobile camera",287
"Police issued",64
"Fixed camera",19
"Mobile camera",331
"Police issued",1
"Police issued",6
"Mobile camera",51
"Fixed camera",180
"Mobile camera",152
"Police issued",14
"Fixed camera",258
"Mobile camera",207
"Police issued",20
"Fixed camera",72
"Mobile camera",106
"Fixed camera",147
"Mobile camera",93
"Fixed camera",1
"Unknown",0
"Average speed camera",218
"Fixed camera",866
"Mobile camera",4485
"Police issued",787
"Red light camera",871
"Unknown",0
"Average speed camera",409
"Fixed camera",2950
"Mobile camera",10393
"Police issued",1524
"Red light camera",3091
"Unknown",0
"Average speed camera",504
"Fixed camera",4226
"Mobile camera",15404
"Police issued",1756
"Red light camera",6253
"Unknown",0
"Average speed camera",95
"Fixed camera",1038
"Mobile camera",3762
"Police issued",351
"Red light camera",1630
"Unknown",0
"Average speed camera",5
"Fixed camera",9
"Red light camera",10
"Fixed camera",452
"Mobile camera",176
"Police issued",42
"Fixed camera",1108
"Mobile camera",404
"Police issued",47
"Fixed camera",1805
"Mobile camera",558
"Fixed camera",527
"Mobile camera",203
"Fixed camera",72
"Mobile camera",21
"Police issued",2
"Police issued",1586
"Police issued",2494
"Police issued",2557
"Police issued",577
"Police issued",2304
"Police issued",2791
"Police issued",2416
"Police issued",390
"Police issued",1
"Police issued",480
