"DETECTION_METHOD","FINES"
"Police issued",1541
"Red light camera",7520
"Average speed camera",90
"Fixed camera",940
"Mobile camera",4267
"Police issued",295
"Red light camera",2202
"Unknown",0
"Fixed camera",2
"Mobile camera",11
"Red light camera",4
"Mobile camera",2
"Fixed camera",491
"Mobile camera",224
"Police issued",38
"Fixed camera",1102
"Mobile camera",507
"Police issued",57
"Fixed camera",1809
"Police issued",44
"Fixed camera",615
"Mobile camera",242
"Police issued",2
"Fixed camera",68
"Police issued",1468
"Police issued",2247
"Police issued",2433
"Police issued",572
"Police issued",5
"Police issued",1776
"Police issued",1994
"Police issued",1752
"Police issued",231
"Police issued",657
"Police issued",779
"Police issued",227
"Police issued",14
"Police issued",26
"Police issued",36
"Police issued",11
"Police issued",21
"Police issued",41
"Police issued",30
"Fixed camera",36067
"Mobile camera",3340
"Red light camera",21624
"Mobile camera",329
"Police issued",51
"Mobile camera",885
"Police issued",98
"Red light camera",121
"Mobile camera",1082
"Police issued",106
"Red light camera",160
"Mobile camera",262
"Police issued",11
"Red light camera",33
"Mobile camera",122
"Red light camera",11
"Mobile camera",2
"Police issued",1
"Fixed camera",429
"Mobile camera",799
"Police issued",719
"Fixed camera",1247
"Mobile camera",2223
"Other",1
"Police issued",1328
"Fixed camera",2098
"Mobile camera",3458
"Police issued",1617
"Fixed camera",909
"Mobile camera",1113
"Police issued",436
"Fixed camera",196
"Mobile camera",181
"Police issued",8
"Police issued",1
"Police issued",322
"Fixed or mobile camera",1360
"Police issued",520
"Fixed or mobile camera",1916
"Police issued",630
"Fixed or mobile camera",761
"Police issued",184
"Fixed or mobile camera",2
"Fixed camera",272
"Mobile camera",496
"Police issued",674
"Fixed camera",892
"Mobile camera",1676
"Police issued",1432
"Fixed camera",1263
"Mobile camera",2791
"Police issued",1836
"Fixed camera",581
"Mobile camera",1300
"Fixed camera",956
"Mobile camera",1589
"Fixed camera",3033
"Mobile camera",2213
"Police issued",847
"Fixed camera",10486
"Mobile camera",8446
"Police issued",1672
"Fixed camera",17925
"Mobile camera",13279
"Police issued",1854
"Fixed camera",5337
"Mobile camera",3836
"Police issued",362
"Fixed camera",12217
"Mobile camera",6763
"Mobile camera",89
"Police issued",112
"Mobile camera",302
"Police issued",288
"Fixed camera",24
"Mobile camera",498
"Police issued",333
"Mobile camera",247
"Police issued",103
"Fixed camera",5
"Mobile camera",314
"Police issued",5
"Police issued",3
"Fixed camera",78
"Mobile camera",72
"Police issued",21
"Fixed camera",225
"Mobile camera",219
"Police issued",33
"Fixed camera",372
"Mobile camera",329
"Police issued",44
"Fixed camera",131
"Fixed camera",237
"Mobile camera",168
"Mobile camera",5
"Police issued",2
"Unknown",0
"Average speed camera",213
"Fixed camera",947
"Mobile camera",6665
"Police issued",799
"Red light camera",1091
"Unknown",0
"Average speed camera",423
"Fixed camera",2876
"Mobile camera",15185
"Police issued",1423
"Red light camera",3511
"Unknown",0
"Average speed camera",544
"Fixed camera",4227
"Mobile camera",20374
"Police issued",1685
"Red light camera",7845
"Unknown",0
"Average speed camera",113
"Fixed camera",1084
"Mobile camera",4457
"Police issued",340
"Red light camera",2378
"Mobile camera",223
"Fixed camera",1001
"Mobile camera",515
"Police issued",59
"Fixed camera",1796
"Mobile camera",700
"Police issued",38
"Fixed camera",524
"Mobile camera",257
"Fixed camera",82
"Mobile camera",29
"Police issued",1363
"Police issued",2051
"Police issued",2129
"Police issued",477
"Police issued",1688
"Police issued",1769
"Police issued",1589
"Police issued",243
"Police issued",313
"Police issued",562
"Police issued",662
"Police issued",187
"Police issued",31
"Police issued",41
"Police issued",51
"Police issued",14
"Fixed camera",41595
"Mobile camera",2757
"Red light camera",23219
"Police issued",4
"Mobile camera",250
"Police issued",47
"Red light camera",59
"Mobile camera",661
"Police issued",95
"Red light camera",133
"Mobile camera",809
"Police issued",79
"Red light camera",206
"Mobile camera",220
"Police issued",15
"Red light camera",37
"Mobile camera",101
"Police issued",1
"Red light camera",18
"Mobile camera",1
"Fixed camera",488
"Mobile camera",903
"Police issued",759
"Fixed camera",1189
"Mobile camera",2343
"Police issued",1330
"Fixed camera",2103
"Mobile camera",3945
"Police issued",1817
"Fixed camera",742
"Mobile camera",1329
"Police issued",543
"Fixed camera",166
"Mobile camera",212
"Police issued",0
"Fixed or mobile camera",636
"Police issued",295
"Fixed or mobile camera",1549
"Police issued",469
"Fixed or mobile camera",2159
"Police issued",537
"Fixed or mobile camera",784
"Police issued",161
"Police issued",3
"Fixed camera",279
"Mobile camera",562
"Police issued",748
"Fixed camera",875
"Mobile camera",1768
"Police issued",1575
"Fixed camera",1330
"Mobile camera",3033
"Police issued",2059
"Fixed camera",510
"Mobile camera",1270
"Police issued",546
"Fixed camera",1020
"Mobile camera",1767
"Fixed camera",3632
"Mobile camera",2567
"Police issued",1075
"Fixed camera",11843
"Mobile camera",8967
"Police issued",1836
"Fixed camera",19526
"Mobile camera",14497
"Police issued",2030
"Fixed camera",5840
"Mobile camera",4074
"Police issued",385
"Fixed camera",13208
"Mobile camera",7242
"Police issued",142
"Mobile camera",276
"Police issued",276
"Fixed camera",9
"Mobile camera",505
"Police issued",342
"Fixed camera",2
"Mobile camera",207
"Police issued",112
"Fixed camera",2
"Mobile camera",321
"Fixed camera",74
"Mobile camera",88
"Police issued",19
"Fixed camera",229
"Mobile camera",275
"Police issued",47
"Fixed camera",392
"Mobile camera",378
"Police issued",64
"Fixed camera",126
"Mobile camera",184
"Police issued",15
"Fixed camera",253
"Mobile camera",185
"Police issued",1
"Average speed camera",340
"Fixed camera",940
"Mobile camera",4980
"Police issued",818
"Red light camera",1030
"Unknown",0
"Average speed camera",584
"Fixed camera",2682
"Mobile camera",11613
"Police issued",1484
"Red light camera",3579
"Unknown",0
"Average speed camera",740
"Fixed camera",3846
"Mobile camera",16146
"Police issued",1652
"Red light camera",7383
"Unknown",0
"Fixed camera",942
"Mobile camera",3567
"Police issued",343
"Red light camera",2304
"Average speed camera",2
"Mobile camera",13
"Fixed camera",524
"Mobile camera",177
"Police issued",62
"Fixed camera",1202
"Mobile camera",480
"Fixed camera",2074
"Mobile camera",608
"Fixed camera",590
"Mobile camera",195
"Fixed camera",90
"Police issued",1535
"Police issued",2386
"Police issued",2376
"Police issued",560
"Police issued",8
"Police issued",2158
"Police issued",2618
"Police issued",2315
"Police issued",350
"Police issued",399
"Police issued",605
"Police issued",715
"Police issued",198
"Police issued",22
"Police issued",48
"Police issued",54
"Police issued",422
"Police issued",570
"Police issued",553
"Police issued",115
"Fixed camera",39578
"Mobile camera",3039
"Red light camera",23563
"Police issued",7
"Police issued",0
"Mobile camera",607
"Police issued",28
"Red light camera",68
"Mobile camera",1598
"Police issued",78
"Red light camera",224
"Mobile camera",1978
"Police issued",65
"Red light camera",291
"Mobile camera",456
"Police issued",14
"Red light camera",50
"Mobile camera",180
"Police issued",0
"Fixed camera",2
"Police issued",2
"Fixed camera",370
"Mobile camera",599
"Police issued",709
"Fixed camera",876
"Mobile camera",1581
"Police issued",1287
"Fixed camera",1773
"Mobile camera",2638
"Police issued",1566
"Fixed camera",709
"Mobile camera",847
"Police issued",452
"Fixed camera",151
"Mobile camera",130
"Police issued",1
"Fixed or mobile camera",456
"Fixed or mobile camera",1209
"Police issued",442
"Fixed or mobile camera",1740
"Police issued",525
"Fixed or mobile camera",641
"Police issued",179
"Fixed camera",320
"Mobile camera",506
"Police issued",967
"Fixed camera",881
"Mobile camera",1953
"Police issued",1704
"Fixed camera",1343
"Mobile camera",2856
"Police issued",2052
"Fixed camera",448
"Mobile camera",1244
"Police issued",519
"Fixed camera",916
"Mobile camera",1614
"Fixed camera",3801
"Mobile camera",2502
"Police issued",1186
"Fixed camera",12743
"Mobile camera",9500
"Police issued",2024
"Fixed camera",21120
"Mobile camera",14316
"Police issued",1964
"Fixed camera",6203
"Mobile camera",4145
"Police issued",386
"Fixed camera",13780
"Mobile camera",7222
"Mobile camera",81
"Police issued",159
"Mobile camera",297
"Police issued",347
"Mobile camera",489
"Police issued",390
"Mobile camera",231
"Police issued",72
"Fixed camera",4
"Mobile camera",308
"Fixed camera",56
"Police issued",31
"Fixed camera",248
"Mobile camera",207
"Police issued",44
"Fixed camera",435
"Mobile camera",351
"Police issued",34
"Fixed camera",125
"Mobile camera",122
"Police issued",19
"Fixed camera",257
"Mobile camera",155
"Mobile camera",4
"Average speed camera",264
"Fixed camera",1065
"Mobile camera",4822
"Police issued",562
"Red light camera",1071
"Unknown",0
"Average speed camera",505
"Fixed camera",3353
"Mobile camera",12015
"Police issued",1124
"Red light camera",3840
"Unknown",0
"Average speed camera",592
"Fixed camera",5074
"Mobile camera",16724
"Police issued",1260
"Red light camera",8220
"Unknown",0
"Fixed camera",1347
"Mobile camera",4121
"Police issued",235
"Red light camera",2610
"Unknown",0
"Fixed camera",6
"Mobile camera",9
"Red light camera",6
